id,name,account,num_nodes,scheduled_nodes,run_time,submit_time,start_time,end_time,current_state,avg_cpu_usage,avg_gpu_usage,avg_ntx_usage,avg_nrx_usage,avg_node_power,max_node_power,energy
89260,User-Test LLM,llmUser,16,"[2797, 6343, 1475, 6490, 3255, 3412, 5875, 3757, 7557, 9182, 5484, 7988, 4259, 6982, 7215, 8489]",306,0,0,307,JobState.COMPLETED,1,0.8,,,1231.4897959183616,1231.4897959183675,6029374.040816298
22032,User-Test LLM,llmUser,8,"[2453, 7707, 7981, 4617, 8664, 5186, 3366, 5071]",784,0,0,785,JobState.COMPLETED,1,0.8,,,1231.4897959183506,1231.4897959183675,7723903.999999895
7471,User-Test LLM,llmUser,4,"[7931, 7911, 4457, 6685]",1081,0,0,1082,JobState.COMPLETED,1,0.8,,,1231.4897959183488,1231.4897959183675,5324961.87755094
91052,User-Test LLM,llmUser,16,"[3932, 2289, 8150, 6672, 3253, 8747, 1438, 8958, 2051, 2573, 4178, 3305, 2460, 6625, 2728, 9551]",1875,0,0,1876,JobState.COMPLETED,1,0.8,,,1231.4897959183816,1231.4897959183675,36944693.877551444
90434,User-Test LLM,llmUser,1,[5515],2261,0,0,2262,JobState.COMPLETED,1,0.8,,,1231.4897959184148,1231.4897959183675,2784398.4285715357
