system,topology,app_type,workload,num_nodes,avg_degree,sparsity,total_traffic_bytes,routing_algorithm,allocation_strategy,max_link_util,avg_link_util,link_util_std,total_power_kw,congestion_factor,job_slowdown,avg_slowdown,max_slowdown,timestamp
lassen,fat-tree,comd,comd_n64_dense_20260121_214717,64,6.0,0.9047619047619048,1733217584,minimal,contiguous,12.33713907393423,0.03212796633837038,0.39217180792973844,361.47974075060984,12.33713907393423,12.33713907393423,12.33713907393423,12.33713907393423,2026-01-29T04:46:35.742962
lassen,fat-tree,comd,comd_n64_dense_20260121_214717,64,6.0,0.9047619047619048,1733217584,minimal,random,61.68569536967108,0.04960382302828473,0.8521668543030269,361.83764629561927,61.68569536967108,61.68569536967108,61.68569536967108,61.68569536967108,2026-01-29T04:46:35.845880
lassen,fat-tree,comd,comd_n64_dense_20260121_214717,64,6.0,0.9047619047619048,1733217584,ecmp,contiguous,12.33713907393423,0.03212796633837038,0.39217180792973844,361.47974075060984,12.33713907393423,12.33713907393423,12.33713907393423,12.33713907393423,2026-01-29T04:46:35.927057
lassen,fat-tree,comd,comd_n64_dense_20260121_214717,64,6.0,0.9047619047619048,1733217584,ecmp,random,61.68569536967108,0.04960382302828473,0.8521668543030269,361.83764629561927,61.68569536967108,61.68569536967108,61.68569536967108,61.68569536967108,2026-01-29T04:46:36.022560
lassen,fat-tree,cosp2,cosp2_n128_sparse_20260121_215534,129,1.9844961240310077,0.9844961240310077,386864,minimal,contiguous,0.002378131739297849,8.050549878840077e-06,8.130596014815442e-05,727.281692326699,1.0,1.0,1.0,1.0,2026-01-29T04:46:36.175559
lassen,fat-tree,cosp2,cosp2_n128_sparse_20260121_215534,129,1.9844961240310077,0.9844961240310077,386864,minimal,random,0.01228772557576155,1.1454921381337926e-05,0.00016225280752062924,727.2818328591545,1.0,1.0,1.0,1.0,2026-01-29T04:46:36.291196
lassen,fat-tree,cosp2,cosp2_n128_sparse_20260121_215534,129,1.9844961240310077,0.9844961240310077,386864,ecmp,contiguous,0.002378131739297849,8.050549878840077e-06,8.130596014815442e-05,727.281692326699,1.0,1.0,1.0,1.0,2026-01-29T04:46:36.382246
lassen,fat-tree,cosp2,cosp2_n128_sparse_20260121_215534,129,1.9844961240310077,0.9844961240310077,386864,ecmp,random,0.01228772557576155,1.1454921381337926e-05,0.00016225280752062924,727.2818328591545,1.0,1.0,1.0,1.0,2026-01-29T04:46:36.498391
lassen,fat-tree,hpgmg,hpgmg_n128_fv_20260121_215033,127,19.212598425196852,0.8475190601174853,1057253824,minimal,contiguous,5.231517824559499,0.013905275998666549,0.18694425543041832,716.5707904165859,5.231517824559499,5.231517824559499,5.231517824559499,5.231517824559499,2026-01-29T04:46:36.867374
lassen,fat-tree,hpgmg,hpgmg_n128_fv_20260121_215033,127,19.212598425196852,0.8475190601174853,1057253824,minimal,random,35.0799512378231,0.020087950157072206,0.4611998236249128,716.8220542943834,35.0799512378231,35.0799512378231,35.0799512378231,35.0799512378231,2026-01-29T04:46:37.845349
