system,topology,app_type,workload,num_nodes,avg_degree,sparsity,total_traffic_bytes,routing_algorithm,allocation_strategy,max_link_util,avg_link_util,link_util_std,total_power_kw,congestion_factor,job_slowdown,avg_slowdown,max_slowdown,timestamp
lassen,fat-tree,comd,comd_n64_dense_20260121_214717,64,6.0,0.9047619047619048,1733217584,minimal,contiguous,12.33713907393423,0.03212796633837038,0.39217180792973844,361.47974075060984,12.33713907393423,12.33713907393423,12.33713907393423,12.33713907393423,2026-01-29T04:46:21.802426
lassen,fat-tree,comd,comd_n64_dense_20260121_214717,64,6.0,0.9047619047619048,1733217584,ecmp,contiguous,12.33713907393423,0.03212796633837038,0.39217180792973844,361.47974075060984,12.33713907393423,12.33713907393423,12.33713907393423,12.33713907393423,2026-01-29T04:46:21.888594
lassen,fat-tree,cosp2,cosp2_n128_sparse_20260121_215534,129,1.9844961240310077,0.9844961240310077,386864,minimal,contiguous,0.002378131739297849,8.050549878840077e-06,8.130596014815442e-05,727.281692326699,1.0,1.0,1.0,1.0,2026-01-29T04:46:22.017847
lassen,fat-tree,cosp2,cosp2_n128_sparse_20260121_215534,129,1.9844961240310077,0.9844961240310077,386864,ecmp,contiguous,0.002378131739297849,8.050549878840077e-06,8.130596014815442e-05,727.281692326699,1.0,1.0,1.0,1.0,2026-01-29T04:46:22.108982
lassen,fat-tree,hpgmg,hpgmg_n128_fv_20260121_215033,127,19.212598425196852,0.8475190601174853,1057253824,minimal,contiguous,5.231517824559499,0.013905275998666549,0.18694425543041832,716.5707904165859,5.231517824559499,5.231517824559499,5.231517824559499,5.231517824559499,2026-01-29T04:46:22.424830
lassen,fat-tree,hpgmg,hpgmg_n128_fv_20260121_215033,127,19.212598425196852,0.8475190601174853,1057253824,ecmp,contiguous,5.231517824559499,0.013905275998666549,0.18694425543041832,716.5707904165859,5.231517824559499,5.231517824559499,5.231517824559499,5.231517824559499,2026-01-29T04:46:22.732207
lassen,fat-tree,lulesh,lulesh_n64_cube_20260121_214715,64,14.625,0.7678571428571428,82191168,minimal,contiguous,0.6686206291382962,0.0010066309927619116,0.01792689113177255,360.8423758027318,1.0,1.0,1.0,1.0,2026-01-29T04:46:22.886109
lassen,fat-tree,lulesh,lulesh_n64_cube_20260121_214715,64,14.625,0.7678571428571428,82191168,ecmp,contiguous,0.6686206291382962,0.0010066309927619116,0.01792689113177255,360.8423758027318,1.0,1.0,1.0,1.0,2026-01-29T04:46:23.040166
frontier,dragonfly,comd,comd_n64_dense_20260121_214717,64,6.0,0.9047619047619048,1733217584,minimal,contiguous,1.1566067881813336,0.0032592666465713557,0.05869349437133162,542.0042448979591,1.1566067881813336,1.1566067881813336,1.1566067881813336,1.1566067881813336,2026-01-29T04:46:23.442518
frontier,dragonfly,comd,comd_n64_dense_20260121_214717,64,6.0,0.9047619047619048,1733217584,ugal,contiguous,1.1566067881813336,0.0032592666465713557,0.05869349437133162,542.0042448979591,1.1566067881813336,1.1566067881813336,1.1566067881813336,1.1566067881813336,2026-01-29T04:46:23.852837
frontier,dragonfly,comd,comd_n64_dense_20260121_214717,64,6.0,0.9047619047619048,1733217584,valiant,contiguous,1.1566067881813336,0.0032592666465713557,0.05869349437133162,542.0042448979591,1.1566067881813336,1.1566067881813336,1.1566067881813336,1.1566067881813336,2026-01-29T04:46:24.254897
frontier,dragonfly,cosp2,cosp2_n128_sparse_20260121_215534,129,1.9844961240310077,0.9844961240310077,386864,minimal,contiguous,0.00014516423543290265,7.686649351838229e-07,9.261300200930112e-06,1092.4773061224487,1.0,1.0,1.0,1.0,2026-01-29T04:46:24.667811
frontier,dragonfly,cosp2,cosp2_n128_sparse_20260121_215534,129,1.9844961240310077,0.9844961240310077,386864,ugal,contiguous,0.00014516423543290265,7.686649351838229e-07,9.261300200930112e-06,1092.4773061224487,1.0,1.0,1.0,1.0,2026-01-29T04:46:25.138650
frontier,dragonfly,cosp2,cosp2_n128_sparse_20260121_215534,129,1.9844961240310077,0.9844961240310077,386864,valiant,contiguous,0.00014516423543290265,7.686649351838229e-07,9.261300200930112e-06,1092.4773061224487,1.0,1.0,1.0,1.0,2026-01-29T04:46:25.550615
frontier,dragonfly,hpgmg,hpgmg_n128_fv_20260121_215033,127,19.212598425196852,0.8475190601174853,1057253824,minimal,contiguous,0.5248448302956072,0.0011608417940561346,0.012561214498647536,1075.5396734693875,1.0,1.0,1.0,1.0,2026-01-29T04:46:26.280960
frontier,dragonfly,hpgmg,hpgmg_n128_fv_20260121_215033,127,19.212598425196852,0.8475190601174853,1057253824,ugal,contiguous,0.5248448302956072,0.0011608417940561346,0.012561214498647536,1075.5396734693875,1.0,1.0,1.0,1.0,2026-01-29T04:46:27.048160
frontier,dragonfly,hpgmg,hpgmg_n128_fv_20260121_215033,127,19.212598425196852,0.8475190601174853,1057253824,valiant,contiguous,0.5248448302956072,0.0011608417940561346,0.012561214498647536,1075.5396734693875,1.0,1.0,1.0,1.0,2026-01-29T04:46:27.765079
frontier,dragonfly,lulesh,lulesh_n64_cube_20260121_214715,64,14.625,0.7678571428571428,82191168,minimal,contiguous,0.02742389299200001,8.555924106435696e-05,0.001332058962938891,542.0042448979591,1.0,1.0,1.0,1.0,2026-01-29T04:46:28.248892
frontier,dragonfly,lulesh,lulesh_n64_cube_20260121_214715,64,14.625,0.7678571428571428,82191168,ugal,contiguous,0.02742389299200001,8.555924106435696e-05,0.001332058962938891,542.0042448979591,1.0,1.0,1.0,1.0,2026-01-29T04:46:28.740852
