id,name,account,num_nodes,scheduled_nodes,run_time,submit_time,start_time,end_time,current_state,avg_cpu_usage,avg_gpu_usage,avg_ntx_usage,avg_nrx_usage,avg_node_power,max_node_power,energy
97631,User-Test LLM,llmUser,2,"[4388, 4389]",831,0,0,832,JobState.COMPLETED,1,0.8,,,918.5100000000073,918.51,1526563.620000012
17781,User-Test LLM,llmUser,4,"[4550, 4551, 4552, 4553]",1155,0,0,1156,JobState.COMPLETED,1,0.8,,,918.5100000000078,918.51,4243516.2000000365
85923,User-Test LLM,llmUser,32,"[4518, 4519, 4520, 4521, 4522, 4523, 4524, 4525, 4526, 4527, 4528, 4529, 4530, 4531, 4532, 4533, 4534, 4535, 4536, 4537, 4538, 4539, 4540, 4541, 4542, 4543, 4544, 4545, 4546, 4547, 4548, 4549]",1932,0,0,1933,JobState.COMPLETED,1,0.8,,,918.5100000000084,918.51,56785962.240000516
81397,User-Test LLM,llmUser,32,"[4563, 4564, 4565, 4566, 4567, 4568, 4569, 4570, 4571, 4572, 4573, 4574, 4575, 4576, 4577, 4578, 4579, 4580, 4581, 4582, 4583, 4584, 4585, 4586, 4587, 4588, 4589, 4590, 4591, 4592, 4593, 4594]",3382,0,0,3383,JobState.COMPLETED,1,0.8,,,918.5099999999256,918.51,99404826.23999195
