id,name,account,num_nodes,scheduled_nodes,run_time,submit_time,start_time,end_time,current_state,avg_cpu_usage,avg_gpu_usage,avg_ntx_usage,avg_nrx_usage,avg_node_power,max_node_power,energy
4694,User-Test LLM,llmUser,4,"[3730, 3731, 3732, 3733]",121,0,0,122,JobState.COMPLETED,1,0.8,,,918.5099999999981,918.51,444558.83999999904
12899,User-Test LLM,llmUser,32,"[4506, 4507, 4508, 4509, 4510, 4511, 4512, 4513, 4514, 4515, 4516, 4517, 4518, 4519, 4520, 4521, 4522, 4523, 4524, 4525, 4526, 4527, 4528, 4529, 4530, 4531, 4532, 4533, 4534, 4535, 4536, 4537]",1074,0,0,1075,JobState.COMPLETED,1,0.8,,,918.5100000000077,918.51,31567351.680000264
3139,User-Test LLM,llmUser,1,[4504],1401,0,0,1402,JobState.COMPLETED,1,0.8,,,918.5100000000081,918.51,1286832.5100000112
50633,User-Test LLM,llmUser,1,[4572],1895,0,0,1896,JobState.COMPLETED,1,0.8,,,918.5100000000084,918.51,1740576.450000016
56699,User-Test LLM,llmUser,32,"[4540, 4541, 4542, 4543, 4544, 4545, 4546, 4547, 4548, 4549, 4550, 4551, 4552, 4553, 4554, 4555, 4556, 4557, 4558, 4559, 4560, 4561, 4562, 4563, 4564, 4565, 4566, 4567, 4568, 4569, 4570, 4571]",3305,0,0,3306,JobState.COMPLETED,1,0.8,,,918.5099999999292,918.51,97141617.59999251
