experiment,app,data_type,num_ranks,system,use_case,data_structure,algorithm,latency,throughput,congestion,max_link_util,total_traffic_gb,strategy,communication_cost,cost_reduction,num_edges,scheduler,makespan,energy_kwh,avg_power_kw,utilization,burstiness,num_time_bins,scenario,compute_power_mw,total_power_mw,peak_power_mw,power_variance,power_efficiency,pattern
comd_n64_dense_20260121_214717,comd,real,64,lassen,adaptive_routing,static_matrix,minimal,3.5439388278933337,10.122061324028568,0.012553950826666667,0.23492632576,1.733217584,,,,,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,lassen,adaptive_routing,static_matrix,ecmp,4.050215803306667,10.122061324028568,0.012553950826666667,0.23492632576,1.733217584,,,,,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,lassen,node_placement,affinity_graph,,,,,,,contiguous,3466435168.0,0.0,192.0,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,lassen,node_placement,affinity_graph,,,,,,,random,3466435168.0,0.0,192.0,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,lassen,node_placement,affinity_graph,,,,,,,locality,3466435168.0,0.0,192.0,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,lassen,node_placement,affinity_graph,,,,,,,spectral,3466435168.0,0.0,192.0,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,lassen,scheduling,dynamic_matrix,,,,,,,,,,,fcfs,3972.7339174652648,3201.832846248965,2901.4271999999996,70.0,1.2390049419207831,388.0,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,lassen,scheduling,dynamic_matrix,,,,,,,,,,,backfill,3414.4000000000005,2531.6951080960002,2669.3130239999996,78.0,1.2390049419207831,388.0,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,lassen,scheduling,dynamic_matrix,,,,,,,,,,,sjf,3201.8532165069473,2322.486003195186,2611.28448,82.0,1.2390049419207831,388.0,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,lassen,power,dynamic_matrix,,,,,,,,,,,,,,,,,,baseline,3.743757259350209,4.866884437155272,4.90732125,0.00016784321871699106,0.8124473219075975,
