id,name,account,num_nodes,scheduled_nodes,run_time,submit_time,start_time,end_time,current_state,avg_cpu_usage,avg_gpu_usage,avg_ntx_usage,avg_nrx_usage,avg_node_power,max_node_power,energy
29938,User-Test LLM,llmUser,4,"[9541, 9542, 9543, 9544]",1086,0,0,1087,JobState.COMPLETED,1,0.8,,,1231.4897959183488,1231.4897959183675,5349591.673469307
50922,User-Test LLM,llmUser,2,"[9546, 9547]",1945,0,0,1946,JobState.COMPLETED,1,0.8,,,1231.4897959183884,1231.4897959183675,4790495.306122531
13052,User-Test LLM,llmUser,32,"[2304, 2305, 2306, 2307, 2308, 2309, 2310, 2311, 2312, 2313, 2314, 2315, 2316, 2317, 2318, 2319, 2320, 2321, 2322, 2323, 2324, 2325, 2326, 2327, 2328, 2329, 2330, 2331, 2332, 2333, 2334, 2335]",3232,0,0,3233,JobState.COMPLETED,1,0.8,,,1231.4897959184632,1231.4897959183675,127365600.65307114
