id,name,account,num_nodes,scheduled_nodes,run_time,submit_time,start_time,end_time,current_state,avg_cpu_usage,avg_gpu_usage,avg_ntx_usage,avg_nrx_usage,avg_node_power,max_node_power,energy
99862,User-Test LLM,llmUser,32,"[1112, 1934, 3948, 3301, 2894, 1398, 2148, 4246, 2397, 2233, 278, 2005, 3878, 3675, 4460, 2419, 3132, 775, 4367, 1136, 1995, 2905, 1002, 998, 1005, 1455, 1790, 2747, 4535, 1043, 2896, 344]",1552,0,0,1553,JobState.COMPLETED,1,0.8,,,918.5100000000082,918.51,45616880.6400004
59828,User-Test LLM,llmUser,32,"[2923, 1618, 2506, 3033, 4205, 1093, 1102, 4274, 4624, 1262, 3028, 2728, 993, 737, 2141, 3835, 2324, 2721, 129, 4379, 144, 515, 3631, 1369, 2733, 3253, 1847, 350, 3600, 3640, 2312, 2095]",2316,0,0,2317,JobState.COMPLETED,1,0.8,,,918.5099999999943,918.51,68072613.11999957
57609,User-Test LLM,llmUser,2,"[3437, 2786]",2633,0,0,2634,JobState.COMPLETED,1,0.8,,,918.509999999968,918.51,4836873.659999832
8493,User-Test LLM,llmUser,8,"[613, 276, 2790, 4581, 1081, 2066, 410, 4297]",3188,0,0,3189,JobState.COMPLETED,1,0.8,,,918.5099999999347,918.51,23425679.039998334
68690,User-Test LLM,llmUser,32,"[3210, 1579, 4125, 698, 4232, 1786, 1160, 835, 3726, 501, 4484, 1082, 4348, 2901, 2845, 188, 2875, 4423, 365, 3385, 1333, 3995, 3571, 458, 1611, 4282, 4266, 354, 1831, 754, 3231, 4546]",3247,0,0,3248,JobState.COMPLETED,1,0.8,,,918.5099999999319,918.51,95436863.03999293
