experiment,app,data_type,num_ranks,system,use_case,data_structure,algorithm,latency_us,latency_breakdown,throughput_gbps,congestion,max_link_util,slowdown_factor,total_traffic_gb,avg_hops,strategy,communication_cost,hop_weighted_cost,cost_reduction,num_edges,scheduler,makespan,avg_wait_time,avg_turnaround,jobs_completed,utilization,energy_kwh,avg_power_kw,burstiness,num_time_bins,total_node_hours,scenario,compute_power_mw,total_power_mw,peak_power_mw,power_variance,power_efficiency,avg_active_nodes,pattern
comd_correct_n8_20260120_231003,comd,real,8,frontier,node_placement,affinity_graph,,,,,,,,,,spectral,1508409840.0,3016819680.0,0.0,12.0,,,,,,,,,,,,,,,,,,,
comd_correct_n8_20260120_231003,comd,real,8,frontier,scheduling,dynamic_matrix,,,,,,,,,,,,,,,fcfs,2040.0,166.66666666666666,720.0,10.0,0.03819306438791733,2641.001164859474,4660.590290928483,1.02802186970618,49.0,2.716666666666667,,,,,,,,
comd_correct_n8_20260120_231003,comd,real,8,frontier,scheduling,dynamic_matrix,,,,,,,,,,,,,,,backfill,2040.0,166.66666666666666,720.0,10.0,0.03819306438791733,2641.001164859474,4660.590290928483,1.02802186970618,49.0,2.716666666666667,,,,,,,,
comd_correct_n8_20260120_231003,comd,real,8,frontier,scheduling,dynamic_matrix,,,,,,,,,,,,,,,sjf,2040.0,166.66666666666666,720.0,10.0,0.03819306438791733,2641.001164859474,4660.590290928483,1.02802186970618,49.0,2.716666666666667,,,,,,,,
comd_correct_n8_20260120_231003,comd,real,8,frontier,power,dynamic_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,baseline,8.555203242189036,10.266243890626843,10.346567897872344,0.03270167244097011,0.9032098017513762,8.0,
comd_correct_n8_20260120_231003,comd,real,8,frontier,power,dynamic_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,power_cap,8.392315298634028,10.070778358360833,10.128913429787236,0.02469821258419215,0.8860130171699776,8.0,
comd_correct_n8_20260120_231003,comd,real,8,frontier,power,dynamic_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,frequency_scaling,8.532065681838164,10.238478818205795,10.346567897872344,0.05094467036235644,0.9007670694508196,8.0,
comd_correct_n8_20260120_231003,comd,real,8,frontier,power,dynamic_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,job_packing,8.161285149876297,9.793542179851556,9.856029799148939,0.02467358632117068,0.8616221653163321,8.0,
comd_n64_dense_20260121_214717,comd,real,64,lassen,adaptive_routing,static_matrix,minimal,375.60905806181984,"{'propagation_ns': 150, 'transmission_ns': 361086.96, 'queueing_ns': np.float64(13772.09806181978), 'processing_ns': 600, 'total_ns': np.float64(375609.0580618198), 'total_us': np.float64(375.60905806181984)}",12.5,0.012553950826666667,0.23492632576,1.0,1.733217584,3.5,,,,,,,,,,,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,lassen,adaptive_routing,static_matrix,ecmp,380.44975741575973,"{'propagation_ns': 200, 'transmission_ns': 361086.96, 'queueing_ns': np.float64(18362.797415759705), 'processing_ns': 800, 'total_ns': np.float64(380449.7574157597), 'total_us': np.float64(380.44975741575973)}",12.5,0.012553950826666667,0.23492632576,1.0,1.733217584,4.0,,,,,,,,,,,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,lassen,node_placement,affinity_graph,,,,,,,,,,contiguous,3466435168.0,6932870336.0,0.0,192.0,,,,,,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,lassen,node_placement,affinity_graph,,,,,,,,,,random,3466435168.0,6932870336.0,0.0,192.0,,,,,,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,lassen,node_placement,affinity_graph,,,,,,,,,,locality,3466435168.0,6932870336.0,0.0,192.0,,,,,,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,lassen,node_placement,affinity_graph,,,,,,,,,,spectral,3466435168.0,6932870336.0,0.0,192.0,,,,,,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,lassen,scheduling,dynamic_matrix,,,,,,,,,,,,,,,fcfs,4100.0,64.92957746478868,180.42253521126756,71.0,0.043402777777777776,2225.2871908148554,1953.9107041301168,1.2390049419207831,388.0,2.2777777777777777,,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,lassen,scheduling,dynamic_matrix,,,,,,,,,,,,,,,backfill,4100.0,64.92957746478868,180.42253521126756,71.0,0.043402777777777776,2225.2871908148554,1953.9107041301168,1.2390049419207831,388.0,2.2777777777777777,,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,lassen,scheduling,dynamic_matrix,,,,,,,,,,,,,,,sjf,4100.0,64.92957746478868,180.42253521126756,71.0,0.043402777777777776,2225.2871908148554,1953.9107041301168,1.2390049419207831,388.0,2.2777777777777777,,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,lassen,power,dynamic_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,baseline,2.719389129709543,3.5352058686224064,3.951634357894737,0.00822563955373687,0.5901452104404391,49.626288659793815,
comd_n64_dense_20260121_214717,comd,real,64,lassen,power,dynamic_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,power_cap,2.7135286214261494,3.5275872078539945,3.9027653052631583,0.007608263774275473,0.5888733987469942,49.626288659793815,
comd_n64_dense_20260121_214717,comd,real,64,lassen,power,dynamic_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,frequency_scaling,2.682021281148503,3.4866276654930544,3.951634357894737,0.00877132349679777,0.5820358683047966,49.626288659793815,
comd_n64_dense_20260121_214717,comd,real,64,lassen,power,dynamic_matrix,,,,,,,,,,,,,,,,,,,,,,,,,,job_packing,2.6643854418684,3.46370107442892,3.8116030105263166,0.00679949241248784,0.578208646238802,49.626288659793815,
comd_n64_dense_20260121_214717,comd,real,64,frontier,adaptive_routing,static_matrix,minimal,190.74857217383993,"{'propagation_ns': 225, 'transmission_ns': 180543.48, 'queueing_ns': np.float64(9530.092173839912), 'processing_ns': 450, 'total_ns': np.float64(190748.57217383993), 'total_us': np.float64(190.74857217383993)}",25.0,0.01729095538871795,0.02732436224,1.0,1.733217584,3.5,,,,,,,,,,,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,frontier,adaptive_routing,static_matrix,ugal,194.1502695651199,"{'propagation_ns': 300, 'transmission_ns': 180543.48, 'queueing_ns': np.float64(12706.789565119881), 'processing_ns': 600, 'total_ns': np.float64(194150.2695651199), 'total_us': np.float64(194.1502695651199)}",25.0,0.01729095538871795,0.02732436224,1.0,1.733217584,4.2,,,,,,,,,,,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,frontier,adaptive_routing,static_matrix,valiant,197.66196010998496,"{'propagation_ns': 375, 'transmission_ns': 180543.48, 'queueing_ns': np.float64(15993.480109984956), 'processing_ns': 750, 'total_ns': np.float64(197661.96010998497), 'total_us': np.float64(197.66196010998496)}",25.0,0.017408610756923078,0.02732436224,1.0,1.733217584,5.5,,,,,,,,,,,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,frontier,node_placement,affinity_graph,,,,,,,,,,contiguous,3466435168.0,6932870336.0,0.0,192.0,,,,,,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,frontier,node_placement,affinity_graph,,,,,,,,,,random,3466435168.0,6932870336.0,0.0,192.0,,,,,,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,frontier,node_placement,affinity_graph,,,,,,,,,,locality,3466435168.0,6932870336.0,0.0,192.0,,,,,,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,frontier,node_placement,affinity_graph,,,,,,,,,,spectral,3466435168.0,6932870336.0,0.0,192.0,,,,,,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,frontier,scheduling,dynamic_matrix,,,,,,,,,,,,,,,fcfs,4100.0,64.92957746478868,180.42253521126756,71.0,0.021114864864864864,5307.6162521544165,4660.345977501438,1.2390049419207831,388.0,2.2777777777777777,,,,,,,,
