Matrix,UseCase,Latency,Throughput,Makespan,Energy
cosp2_n64_sparse_20260121_215236.h5,Lassen_FatTree,2.2262064084967226,4.491944444095008,64.43003244412608,1964.0875143135881
cosp2_n64_sparse_20260121_215236.h5,Frontier_Dragonfly,2.6578368398674814,3.7624567797178305,82.03614831520233,1791.5466242362875
cosp2_n64_sparse_20260121_215236.h5,Dragonfly_Adaptive,1.993377629900611,5.0166084104646975,83.45806827562953,1102.3709004034135
cosp2_n64_sparse_20260121_215236.h5,node_mapping_random,2.2262064084967226,4.491944444095008,61.25600572692305,1950.808904388874
cosp2_n64_sparse_20260121_215236.h5,sched_multitenant,2.2262064084967226,4.491944444095008,64.99310452227019,1798.5454294596648
cosp2_n64_sparse_20260121_215236.h5,power_saving,2.2262064084967226,4.491944444095008,98.61417194867954,1728.4093597942756
lulesh_n64_scaled_20260121_214306.h5,Lassen_FatTree,2.9518868466433723,3.387662580531683,94.832638402192,1036.7361407893975
lulesh_n64_scaled_20260121_214306.h5,Frontier_Dragonfly,3.5121007018920407,2.847297956836727,83.1173735681659,1060.0786297067702
lulesh_n64_scaled_20260121_214306.h5,Dragonfly_Adaptive,2.6340755264190308,3.79639691546653,69.09196936116255,1076.1348332895925
lulesh_n64_scaled_20260121_214306.h5,node_mapping_random,2.9518868466433723,3.387662580531683,75.3809247083434,1845.2806307268384
lulesh_n64_scaled_20260121_214306.h5,sched_multitenant,2.9518868466433723,3.387662580531683,68.71167316075014,1480.5431826528022
lulesh_n64_scaled_20260121_214306.h5,power_saving,2.9518868466433723,3.387662580531683,93.2795520802298,1633.9310226220523
hpgmg_n64_fv_20260121_214733.h5,Lassen_FatTree,2.737028549579316,3.653595921730918,54.572003126295684,1186.5609295620852
hpgmg_n64_fv_20260121_214733.h5,Frontier_Dragonfly,3.3594582958490182,2.976669493318791,84.25625122866083,1040.8766574965166
hpgmg_n64_fv_20260121_214733.h5,Dragonfly_Adaptive,2.5195937218867637,3.968892263955704,88.9885268111064,1187.9262065073297
hpgmg_n64_fv_20260121_214733.h5,node_mapping_random,2.737028549579316,3.653595921730918,52.21036999848334,1046.6806273009122
hpgmg_n64_fv_20260121_214733.h5,sched_multitenant,2.737028549579316,3.653595921730918,82.87641899028868,1616.4210805570842
hpgmg_n64_fv_20260121_214733.h5,power_saving,2.737028549579316,3.653595921730918,56.84794319334211,1379.2299978429023
comd_correct_n8_20260120_231003.h5,Lassen_FatTree,2.0,4.99999750000125,84.25119024961299,1968.0418960255092
comd_correct_n8_20260120_231003.h5,Frontier_Dragonfly,2.7120245145046256,3.687280944267438,94.53947826565224,1442.2013958797563
comd_correct_n8_20260120_231003.h5,Dragonfly_Adaptive,2.0340183858784693,4.916373988088179,51.13073870334867,1149.5681508771954
comd_correct_n8_20260120_231003.h5,node_mapping_random,2.0,4.99999750000125,62.00996667242307,1297.622538044494
comd_correct_n8_20260120_231003.h5,sched_multitenant,2.0,4.99999750000125,80.21274161875334,1787.050886092583
comd_correct_n8_20260120_231003.h5,power_saving,2.0,4.99999750000125,67.95334652434423,1847.6125946268833
lulesh_s10_n8_20260120_230454.h5,Lassen_FatTree,2.0,4.99999750000125,63.939370073054675,1382.9821957016698
lulesh_s10_n8_20260120_230454.h5,Frontier_Dragonfly,2.6874793027666555,3.7209575042114325,65.03981899472032,1196.309279626322
lulesh_s10_n8_20260120_230454.h5,Dragonfly_Adaptive,2.015609477074992,4.96127605692533,90.11333396656667,1819.6377170661779
lulesh_s10_n8_20260120_230454.h5,node_mapping_random,2.0,4.99999750000125,99.41136026037313,1108.064287529231
lulesh_s10_n8_20260120_230454.h5,sched_multitenant,2.0,4.99999750000125,48.10292431480636,1408.448457523569
lulesh_s10_n8_20260120_230454.h5,power_saving,2.0,4.99999750000125,79.60243762046844,1088.316875191707
lulesh_s10_n8_20260120_231003.h5,Lassen_FatTree,2.0,4.99999750000125,93.48185193543685,1434.4693945951349
lulesh_s10_n8_20260120_231003.h5,Frontier_Dragonfly,2.6874793027666555,3.7209575042114325,60.15624499102688,1274.8992246810121
lulesh_s10_n8_20260120_231003.h5,Dragonfly_Adaptive,2.015609477074992,4.96127605692533,79.54369726979972,1815.2017303698942
lulesh_s10_n8_20260120_231003.h5,node_mapping_random,2.0,4.99999750000125,68.82049180436744,1218.529382230132
lulesh_s10_n8_20260120_231003.h5,sched_multitenant,2.0,4.99999750000125,70.17819817491001,1588.4802048284191
lulesh_s10_n8_20260120_231003.h5,power_saving,2.0,4.99999750000125,95.47354252931473,1163.493580773899
lulesh_s20_n8_20260120_230454.h5,Lassen_FatTree,2.0,4.99999750000125,76.45133713744752,1150.795478525351
lulesh_s20_n8_20260120_230454.h5,Frontier_Dragonfly,2.6774565323737427,3.734886502993136,83.89706010665962,1573.1638384644357
lulesh_s20_n8_20260120_230454.h5,Dragonfly_Adaptive,2.008092399280307,4.9798480506852725,65.63831780751774,1696.9630760049997
lulesh_s20_n8_20260120_230454.h5,node_mapping_random,2.0,4.99999750000125,52.64239154575988,1739.0316370970836
lulesh_s20_n8_20260120_230454.h5,sched_multitenant,2.0,4.99999750000125,59.49386172828104,1228.9524461068347
lulesh_s20_n8_20260120_230454.h5,power_saving,2.0,4.99999750000125,78.83465015737983,1272.1891737320984
lulesh_n64_cube_20260121_214715.h5,Lassen_FatTree,2.9318295610545406,3.410838311339224,73.25445133338992,1999.7730342270902
lulesh_n64_cube_20260121_214715.h5,Frontier_Dragonfly,3.4906800691772624,2.864770456487723,57.56055843467451,1763.5864897071854
