id,name,account,num_nodes,scheduled_nodes,run_time,submit_time,start_time,end_time,current_state,avg_cpu_usage,avg_gpu_usage,avg_ntx_usage,avg_nrx_usage,avg_node_power,max_node_power,energy
49001,User-Test LLM,llmUser,2,"[9497, 9498]",979,0,0,980,JobState.COMPLETED,1,0.8,,,1231.4897959183493,1231.4897959183675,2411257.020408128
19330,User-Test LLM,llmUser,128,"[256, 257, 258, 259, 260, 261, 262, 263, 264, 265, 266, 267, 268, 269, 270, 271, 272, 273, 274, 275, 276, 277, 278, 279, 280, 281, 282, 283, 284, 285, 286, 287, 288, 289, 290, 291, 292, 293, 294, 295, 296, 297, 298, 299, 300, 301, 302, 303, 304, 305, 306, 307, 308, 309, 310, 311, 312, 313, 314, 315, 316, 317, 318, 319, 320, 321, 322, 323, 324, 325, 326, 327, 328, 329, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 340, 341, 342, 343, 344, 345, 346, 347, 348, 349, 350, 351, 352, 353, 354, 355, 356, 357, 358, 359, 360, 361, 362, 363, 364, 365, 366, 367, 368, 369, 370, 371, 372, 373, 374, 375, 376, 377, 378, 379, 380, 381, 382, 383]",1578,0,0,1579,JobState.COMPLETED,1,0.8,,,1231.4897959183472,1231.4897959183675,248741234.93877146
45596,User-Test LLM,llmUser,4,"[8068, 8069, 8070, 8071]",1756,0,0,1757,JobState.COMPLETED,1,0.8,,,1231.4897959183684,1231.4897959183675,8649984.326530619
76264,User-Test LLM,llmUser,1,[9352],2451,0,0,2452,JobState.COMPLETED,1,0.8,,,1231.4897959184273,1231.4897959183675,3018381.4897960653
7641,User-Test LLM,llmUser,16,"[9481, 9482, 9483, 9484, 9485, 9486, 9487, 9488, 9489, 9490, 9491, 9492, 9493, 9494, 9495, 9496]",2930,0,0,2931,JobState.COMPLETED,1,0.8,,,1231.4897959184516,1231.4897959183675,57732241.632657014
