simulator,topology,status,rho_target,mean_utilization,max_utilization,stall_ratio,slowdown,avg_latency_ns,md1_stall_ratio,md1_slowdown,stall_ratio_vs_md1
booksim2,dragonfly,ok,0.05,,,0.07954165713984207,1.0795416571398422,377.83957999894477,0.001315789473684211,1.0013157894736842,60.45165942627995
booksim2,dragonfly_1000n,ok,0.05,,,0.017065181293964886,1.0170651812939648,355.9728134528877,0.001315789473684211,1.0013157894736842,12.96953778341331
booksim2,dragonfly,ok,0.1,,,0.08845876497177127,1.0884587649717712,380.9605677401199,0.005555555555555557,1.0055555555555555,15.922577694918825
booksim2,dragonfly_1000n,ok,0.1,,,0.02650726081574737,1.0265072608157473,359.2775412855116,0.005555555555555557,1.0055555555555555,4.7713069468345255
booksim2,dragonfly,ok,0.2,,,0.11141108394744707,1.1114110839474471,388.9938793816065,0.025000000000000005,1.025,4.456443357897882
booksim2,dragonfly_1000n,ok,0.2,,,0.05139178214533706,1.0513917821453371,367.987123750868,0.025000000000000005,1.025,2.055671285813482
booksim2,dragonfly,ok,0.3,,,0.14096769087359518,1.140967690873595,399.3386918057583,0.0642857142857143,1.0642857142857143,2.192830746922591
booksim2,dragonfly_1000n,ok,0.3,,,0.08384657186849025,1.0838465718684902,379.3463001539716,0.0642857142857143,1.0642857142857143,1.3042800068431815
booksim2,dragonfly,ok,0.4,,,0.181235379988392,1.1812353799883921,413.43238299593725,0.13333333333333336,1.1333333333333333,1.35926534991294
booksim2,dragonfly_1000n,ok,0.4,,,0.12839265766989702,1.128392657669897,394.93743018446395,0.13333333333333336,1.1333333333333333,0.9629449325242274
booksim2,dragonfly,ok,0.5,,,0.2363385335139033,1.2363385335139032,432.71848672986613,0.25,1.25,0.9453541340556132
booksim2,dragonfly_1000n,ok,0.5,,,0.19167949763004571,1.1916794976300458,417.087824170516,0.25,1.25,0.7667179905201829
booksim2,dragonfly,ok,0.6,,,0.3184920062613224,1.3184920062613223,461.4722021914628,0.44999999999999996,1.45,0.7077600139140499
booksim2,dragonfly_1000n,ok,0.6,,,0.2865229598768229,1.2865229598768229,450.283035956888,0.44999999999999996,1.45,0.6367176886151621
booksim2,dragonfly,ok,0.7,,,0.45042826740770703,1.4504282674077071,507.6498935926975,0.8166666666666664,1.8166666666666664,0.5515448172339271
booksim2,dragonfly_1000n,ok,0.7,,,0.44540802463544976,1.4454080246354497,505.8928086224074,0.8166666666666664,1.8166666666666664,0.5453975811862651
booksim2,dragonfly,ok,0.8,,,0.6925708356051146,1.6925708356051146,592.3997924617901,1.6000000000000008,2.6000000000000005,0.4328567722531964
booksim2,dragonfly_1000n,ok,0.8,,,0.7794281918908312,1.7794281918908312,622.799867161791,1.6000000000000008,2.6000000000000005,0.48714261993176927
md1_theory,dragonfly,theory,0.05,0.05,0.05,0.001315789473684211,1.0013157894736842,,,,
md1_theory,dragonfly,theory,0.1,0.1,0.1,0.005555555555555557,1.0055555555555555,,,,
md1_theory,dragonfly,theory,0.2,0.2,0.2,0.025000000000000005,1.025,,,,
md1_theory,dragonfly,theory,0.3,0.3,0.3,0.0642857142857143,1.0642857142857143,,,,
md1_theory,dragonfly,theory,0.4,0.4,0.4,0.13333333333333336,1.1333333333333333,,,,
md1_theory,dragonfly,theory,0.5,0.5,0.5,0.25,1.25,,,,
md1_theory,dragonfly,theory,0.6,0.6,0.6,0.44999999999999996,1.45,,,,
md1_theory,dragonfly,theory,0.7,0.7,0.7,0.8166666666666664,1.8166666666666664,,,,
md1_theory,dragonfly,theory,0.8,0.8,0.8,1.6000000000000008,2.6000000000000005,,,,
raps,dragonfly,ok,0.05,0.02441314553990611,0.05,0.001315789473684211,1.0013157894736842,350.4605263157895,0.001315789473684211,1.0013157894736842,1.0
raps,dragonfly_1000n,ok,0.05,0.01636785318140562,0.05,0.001315789473684211,1.0013157894736842,350.4605263157895,0.001315789473684211,1.0013157894736842,1.0
raps,dragonfly,ok,0.1,0.04882629107981222,0.1,0.005555555555555557,1.0055555555555555,351.94444444444446,0.005555555555555557,1.0055555555555555,1.0
raps,dragonfly_1000n,ok,0.1,0.03273570636281124,0.1,0.005555555555555557,1.0055555555555555,351.94444444444446,0.005555555555555557,1.0055555555555555,1.0
raps,dragonfly,ok,0.2,0.09765258215962444,0.2,0.025000000000000005,1.025,358.74999999999994,0.025000000000000005,1.025,1.0
raps,dragonfly_1000n,ok,0.2,0.06547141272562249,0.2,0.025000000000000005,1.025,358.74999999999994,0.025000000000000005,1.025,1.0
raps,dragonfly,ok,0.3,0.14647887323943667,0.3,0.0642857142857143,1.0642857142857143,372.5,0.0642857142857143,1.0642857142857143,1.0
raps,dragonfly_1000n,ok,0.3,0.09820711908843371,0.3,0.0642857142857143,1.0642857142857143,372.5,0.0642857142857143,1.0642857142857143,1.0
raps,dragonfly,ok,0.4,0.19530516431924888,0.4,0.13333333333333336,1.1333333333333333,396.66666666666663,0.13333333333333336,1.1333333333333333,1.0
raps,dragonfly_1000n,ok,0.4,0.13094282545124497,0.4,0.13333333333333336,1.1333333333333333,396.66666666666663,0.13333333333333336,1.1333333333333333,1.0
raps,dragonfly,ok,0.5,0.2441314553990611,0.5,0.25,1.25,437.5,0.25,1.25,1.0
raps,dragonfly_1000n,ok,0.5,0.1636785318140562,0.5,0.25,1.25,437.5,0.25,1.25,1.0
raps,dragonfly,ok,0.6,0.29295774647887335,0.6,0.44999999999999996,1.45,507.5,0.44999999999999996,1.45,1.0
raps,dragonfly_1000n,ok,0.6,0.19641423817686743,0.6,0.44999999999999996,1.45,507.5,0.44999999999999996,1.45,1.0
