id,name,account,num_nodes,scheduled_nodes,run_time,submit_time,start_time,end_time,current_state,avg_cpu_usage,avg_gpu_usage,avg_ntx_usage,avg_nrx_usage,avg_node_power,max_node_power,energy
37077,User-Test LLM,llmUser,4,"[9494, 9495, 9496, 9497]",445,0,0,446,JobState.COMPLETED,1,0.8,,,1231.489795918356,1231.4897959183675,2192051.836734674
35254,User-Test LLM,llmUser,1,[9498],2143,0,0,2144,JobState.COMPLETED,1,0.8,,,1231.489795918406,1231.4897959183675,2639082.6326531437
78706,User-Test LLM,llmUser,16,"[9501, 9502, 9503, 9504, 9505, 9506, 9507, 9508, 9509, 9510, 9511, 9512, 9513, 9514, 9515, 9516]",2290,0,0,2291,JobState.COMPLETED,1,0.8,,,1231.4897959184168,1231.4897959183675,45121786.12245079
87313,User-Test LLM,llmUser,16,"[3584, 3585, 3586, 3587, 3588, 3589, 3590, 3591, 3592, 3593, 3594, 3595, 3596, 3597, 3598, 3599]",2384,0,0,2385,JobState.COMPLETED,1,0.8,,,1231.489795918423,1231.4897959183675,46973946.77551232
60846,User-Test LLM,llmUser,1,[9517],2924,0,0,2925,JobState.COMPLETED,1,0.8,,,1231.4897959184514,1231.4897959183675,3600876.163265552
73217,User-Test LLM,llmUser,2,"[9499, 9500]",3105,0,0,3106,JobState.COMPLETED,1,0.8,,,1231.4897959184586,1231.4897959183675,7647551.6326536285
19739,User-Test LLM,llmUser,1,[9493],3567,0,0,3568,JobState.COMPLETED,1,0.8,,,1231.4897959184739,1231.4897959183675,4392724.102041196
