experiment,data_type,system,use_case,algorithm,latency_us,throughput_gbps,congestion,slowdown_factor,avg_hops,strategy,communication_cost,cost_reduction,scheduler,makespan,avg_wait_time,utilization,jobs_completed,energy_kwh,avg_power_kw,co2_kg,pflops,rl_reward,scenario,compute_power_mw,total_power_mw,peak_power_mw,avg_pflops,efficiency_gflops_w,rpeak_pflops,pattern,num_ranks
comd_n64_dense_20260121_214717,real,lassen,placement,,,,,,,spectral,3466435168.0,0.0,,,,,,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,real,lassen,scheduling,,,,,,,,,,fcfs,38500.0,0.0,0.008229617604617604,101.0,0.0,0.0,0.0,0.0,,,,,,,,,,
comd_n64_dense_20260121_214717,real,lassen,scheduling,,,,,,,,,,backfill,38500.0,0.0,0.008229617604617604,101.0,0.0,0.0,0.0,0.0,,,,,,,,,,
comd_n64_dense_20260121_214717,real,lassen,scheduling,,,,,,,,,,sjf,38500.0,0.0,0.008229617604617604,101.0,0.0,0.0,0.0,0.0,,,,,,,,,,
comd_n64_dense_20260121_214717,real,lassen,scheduling,,,,,,,,,,rl,38540.0,21.386138613861387,0.0,101.0,0.0,0.0,0.0,0.0,599.5300000000043,,,,,,,,,
comd_n64_dense_20260121_214717,real,lassen,power,,,,,,,,,,,,,,,2267.057801209271,,906823.1204837085,,,baseline,2.1034556918436538,2.73449239939675,3.264698210526316,46.80407077029303,22251.03716316925,157.5936,,
comd_n64_dense_20260121_214717,real,lassen,power,,,,,,,,,,,,,,,2266.1893215665646,,906475.7286266258,,,power_cap,2.1026498859895963,2.733444851786475,3.2233346052631577,46.80295050361788,22259.031717774753,157.5936,,
comd_n64_dense_20260121_214717,real,lassen,power,,,,,,,,,,,,,,,2220.405626310479,,888162.2505241917,,,frequency_scaling,2.060170168741682,2.678221219364186,3.264698210526316,44.22357377170297,21465.98103530157,157.5936,,
comd_n64_dense_20260121_214717,real,lassen,power,,,,,,,,,,,,,,,1956.1226878619025,,782449.0751447611,,,job_packing,1.8149591949234145,2.359446953400439,2.827013184210527,45.745568077458955,25204.73639595477,157.5936,,
comd_n64_dense_20260121_214717,real,frontier,routing,minimal,181.21848,25.0,0.000108326099,1.0,3.5,,,,,,,,,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,real,frontier,routing,ugal,181.44348000000002,25.0,0.000108326099,1.0,4.2,,,,,,,,,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,real,frontier,routing,valiant,181.66848000000002,25.0,0.000108326099,1.0,5.5,,,,,,,,,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,real,frontier,placement,,,,,,,contiguous,3466435168.0,0.0,,,,,,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,real,frontier,placement,,,,,,,random,3466435168.0,0.0,,,,,,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,real,frontier,placement,,,,,,,locality,4512760784.0,-0.3018448536580276,,,,,,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,real,frontier,placement,,,,,,,spectral,3466435168.0,0.0,,,,,,,,,,,,,,,,,,,
comd_n64_dense_20260121_214717,real,frontier,scheduling,,,,,,,,,,fcfs,38500.0,0.0,0.004003597753597754,101.0,0.0,0.0,0.0,0.0,,,,,,,,,,
comd_n64_dense_20260121_214717,real,frontier,scheduling,,,,,,,,,,backfill,38500.0,0.0,0.004003597753597754,101.0,0.0,0.0,0.0,0.0,,,,,,,,,,
comd_n64_dense_20260121_214717,real,frontier,scheduling,,,,,,,,,,sjf,38500.0,0.0,0.004003597753597754,101.0,0.0,0.0,0.0,0.0,,,,,,,,,,
comd_n64_dense_20260121_214717,real,frontier,scheduling,,,,,,,,,,rl,56660.0,585.8,0.0,100.0,0.0,0.0,0.0,0.0,499.19000000008987,,,,,,,,,
comd_n64_dense_20260121_214717,real,frontier,power,,,,,,,,,,,,,,,6509.069865212173,,2278174.45282426,,,baseline,6.039343173908202,7.247211808689842,8.689348187234044,335.23478641311135,55508.48440960062,1018.24,,
comd_n64_dense_20260121_214717,real,frontier,power,,,,,,,,,,,,,,,6507.397542325244,,2277589.1398138353,,,power_cap,6.037791534116206,7.245349840939446,8.615830314893618,335.2334430197125,55522.52692486889,1018.24,,
comd_n64_dense_20260121_214717,real,frontier,power,,,,,,,,,,,,,,,6362.834661237821,,2226992.1314332373,,,frequency_scaling,5.903661025890762,7.084393231068914,8.689348187234044,316.7518896678983,53653.46829344861,1018.24,,
