matrix,pattern,num_ranks,system,use_case,algorithm,latency,throughput,congestion,max_link_util,total_traffic_gb,strategy,communication_cost,cost_reduction,scheduler,makespan,energy_kwh,avg_power_kw,utilization,jobs_completed,scenario,compute_power_mw,total_power_mw,power_efficiency
ring_n512,ring,512,lassen,power,,,,,,,,,,,,,,,,job_packing,3.4264623999999997,4.45440112,0.7435899305555554
ring_n512,ring,512,frontier,adaptive_routing,minimal,3.522574545454545,24.621809013551843,0.00644987012987013,0.01536,4.096,,,,,,,,,,,,,
ring_n512,ring,512,frontier,adaptive_routing,ugal,4.025755151515152,24.621809013551843,0.00643878787878788,0.01536,4.096,,,,,,,,,,,,,
ring_n512,ring,512,frontier,adaptive_routing,valiant,5.032221645021645,24.621809013551843,0.006444329004329005,0.01536,4.096,,,,,,,,,,,,,
ring_n512,ring,512,frontier,node_placement,,,,,,,contiguous,4144000000.0,0.0,,,,,,,,,,
ring_n512,ring,512,frontier,node_placement,,,,,,,random,9424000000.0,-1.2741312741312742,,,,,,,,,,
ring_n512,ring,512,frontier,node_placement,,,,,,,locality,4144000000.0,0.0,,,,,,,,,,
ring_n512,ring,512,frontier,node_placement,,,,,,,spectral,4160000000.0,-0.0038610038610038533,,,,,,,,,,
ring_n512,ring,512,frontier,scheduling,,,,,,,,,,fcfs,3000.0,8183.018666666665,9819.622399999998,70.0,30.0,,,,
ring_n512,ring,512,frontier,scheduling,,,,,,,,,,backfill,2640.0,6624.971912533332,9034.052607999998,78.0,30.0,,,,
ring_n512,ring,512,frontier,scheduling,,,,,,,,,,sjf,2550.0,6260.00928,8837.66016,82.0,30.0,,,,
ring_n512,ring,512,frontier,power,,,,,,,,,,,,,,,,baseline,12.574458,15.089349599999998,1.3275399070945946
ring_n512,ring,512,frontier,power,,,,,,,,,,,,,,,,power_cap,12.574458,15.089349599999998,1.3275399070945946
ring_n512,ring,512,frontier,power,,,,,,,,,,,,,,,,frequency_scaling,11.706498179999997,14.047797815999996,1.235905635557432
ring_n512,ring,512,frontier,power,,,,,,,,,,,,,,,,job_packing,12.086048,14.5032576,1.2759763513513513
all-to-all_n1024,all-to-all,1024,lassen,adaptive_routing,minimal,9.118293333333334,1.25,1.2795733333333332,78.6432,1047.552,,,,,,,,,,,,,
all-to-all_n1024,all-to-all,1024,lassen,adaptive_routing,ecmp,9.118293333333334,1.25,1.2795733333333332,78.6432,1047.552,,,,,,,,,,,,,
all-to-all_n1024,all-to-all,1024,lassen,node_placement,,,,,,,contiguous,3667968000000.0,0.0,,,,,,,,,,
all-to-all_n1024,all-to-all,1024,lassen,node_placement,,,,,,,random,3667968000000.0,0.0,,,,,,,,,,
all-to-all_n1024,all-to-all,1024,lassen,node_placement,,,,,,,locality,3667968000000.0,0.0,,,,,,,,,,
all-to-all_n1024,all-to-all,1024,lassen,node_placement,,,,,,,spectral,3667968000000.0,0.0,,,,,,,,,,
all-to-all_n1024,all-to-all,1024,lassen,scheduling,,,,,,,,,,fcfs,3000.0,2417.8559999999998,2901.4271999999996,70.0,30.0,,,,
all-to-all_n1024,all-to-all,1024,lassen,scheduling,,,,,,,,,,backfill,2640.0,1957.4962176,2669.3130239999996,78.0,30.0,,,,
all-to-all_n1024,all-to-all,1024,lassen,scheduling,,,,,,,,,,sjf,2550.0,1849.6598399999998,2611.28448,82.0,30.0,,,,
all-to-all_n1024,all-to-all,1024,lassen,power,,,,,,,,,,,,,,,,baseline,3.6136125,4.69769625,0.7842041015625
all-to-all_n1024,all-to-all,1024,lassen,power,,,,,,,,,,,,,,,,power_cap,3.6136125,4.69769625,0.7842041015625
all-to-all_n1024,all-to-all,1024,lassen,power,,,,,,,,,,,,,,,,frequency_scaling,3.389104125,4.4058353624999995,0.735482666015625
all-to-all_n1024,all-to-all,1024,lassen,power,,,,,,,,,,,,,,,,job_packing,3.4264623999999997,4.45440112,0.7435899305555554
all-to-all_n1024,all-to-all,1024,frontier,adaptive_routing,minimal,7.553902222222224,6.922906513070447,1.1582577777777778,2.6112,1047.552,,,,,,,,,,,,,
all-to-all_n1024,all-to-all,1024,frontier,adaptive_routing,ugal,8.622165333333335,6.922906513070447,1.1555413333333335,2.6112,1047.552,,,,,,,,,,,,,
all-to-all_n1024,all-to-all,1024,frontier,adaptive_routing,valiant,10.83994814814815,6.922906513070447,1.1679896296296297,2.6112,1047.552,,,,,,,,,,,,,
all-to-all_n1024,all-to-all,1024,frontier,node_placement,,,,,,,contiguous,2767872000000.0,0.0,,,,,,,,,,
all-to-all_n1024,all-to-all,1024,frontier,node_placement,,,,,,,random,2767872000000.0,0.0,,,,,,,,,,
all-to-all_n1024,all-to-all,1024,frontier,node_placement,,,,,,,locality,2767872000000.0,0.0,,,,,,,,,,
all-to-all_n1024,all-to-all,1024,frontier,node_placement,,,,,,,spectral,2767872000000.0,0.0,,,,,,,,,,
all-to-all_n1024,all-to-all,1024,frontier,scheduling,,,,,,,,,,fcfs,3000.0,8183.018666666665,9819.622399999998,70.0,30.0,,,,
all-to-all_n1024,all-to-all,1024,frontier,scheduling,,,,,,,,,,backfill,2640.0,6624.971912533332,9034.052607999998,78.0,30.0,,,,
all-to-all_n1024,all-to-all,1024,frontier,scheduling,,,,,,,,,,sjf,2550.0,6260.00928,8837.66016,82.0,30.0,,,,
all-to-all_n1024,all-to-all,1024,frontier,power,,,,,,,,,,,,,,,,baseline,12.574458,15.089349599999998,1.3275399070945946
all-to-all_n1024,all-to-all,1024,frontier,power,,,,,,,,,,,,,,,,power_cap,12.574458,15.089349599999998,1.3275399070945946
all-to-all_n1024,all-to-all,1024,frontier,power,,,,,,,,,,,,,,,,frequency_scaling,11.706498179999997,14.047797815999996,1.235905635557432
all-to-all_n1024,all-to-all,1024,frontier,power,,,,,,,,,,,,,,,,job_packing,12.086048,14.5032576,1.2759763513513513
stencil-3d_n1024,stencil-3d,1024,lassen,adaptive_routing,minimal,4.5952,1.3908670108598897,0.1488,7.9872,133.12,,,,,,,,,,,,,
stencil-3d_n1024,stencil-3d,1024,lassen,adaptive_routing,ecmp,4.5952,1.3908670108598897,0.1488,7.9872,133.12,,,,,,,,,,,,,
stencil-3d_n1024,stencil-3d,1024,lassen,node_placement,,,,,,,contiguous,358400000000.0,0.0,,,,,,,,,,
stencil-3d_n1024,stencil-3d,1024,lassen,node_placement,,,,,,,random,466760000000.0,-0.3023437499999999,,,,,,,,,,
stencil-3d_n1024,stencil-3d,1024,lassen,node_placement,,,,,,,locality,327080000000.0,0.08738839285714284,,,,,,,,,,
stencil-3d_n1024,stencil-3d,1024,lassen,node_placement,,,,,,,spectral,335360000000.0,0.06428571428571428,,,,,,,,,,
stencil-3d_n1024,stencil-3d,1024,lassen,scheduling,,,,,,,,,,fcfs,3000.0,2417.8559999999998,2901.4271999999996,70.0,30.0,,,,
stencil-3d_n1024,stencil-3d,1024,lassen,scheduling,,,,,,,,,,backfill,2640.0,1957.4962176,2669.3130239999996,78.0,30.0,,,,
stencil-3d_n1024,stencil-3d,1024,lassen,scheduling,,,,,,,,,,sjf,2550.0,1849.6598399999998,2611.28448,82.0,30.0,,,,
stencil-3d_n1024,stencil-3d,1024,lassen,power,,,,,,,,,,,,,,,,baseline,3.6136125,4.69769625,0.7842041015625
stencil-3d_n1024,stencil-3d,1024,lassen,power,,,,,,,,,,,,,,,,power_cap,3.6136125,4.69769625,0.7842041015625
stencil-3d_n1024,stencil-3d,1024,lassen,power,,,,,,,,,,,,,,,,frequency_scaling,3.389104125,4.4058353624999995,0.735482666015625
stencil-3d_n1024,stencil-3d,1024,lassen,power,,,,,,,,,,,,,,,,job_packing,3.4264623999999997,4.45440112,0.7435899305555554
stencil-3d_n1024,stencil-3d,1024,frontier,adaptive_routing,minimal,3.9821807407407404,18.063583815028903,0.1377659259259259,0.384,133.12,,,,,,,,,,,,,
stencil-3d_n1024,stencil-3d,1024,frontier,adaptive_routing,ugal,4.550322962962963,17.980437284234753,0.13758074074074073,0.3904,133.12,,,,,,,,,,,,,
stencil-3d_n1024,stencil-3d,1024,frontier,adaptive_routing,valiant,5.694851851851852,17.980437284234753,0.13897037037037036,0.3904,133.12,,,,,,,,,,,,,
stencil-3d_n1024,stencil-3d,1024,frontier,node_placement,,,,,,,contiguous,265600000000.0,0.0,,,,,,,,,,
stencil-3d_n1024,stencil-3d,1024,frontier,node_placement,,,,,,,random,351340000000.0,-0.32281626506024086,,,,,,,,,,
stencil-3d_n1024,stencil-3d,1024,frontier,node_placement,,,,,,,locality,217920000000.0,0.17951807228915662,,,,,,,,,,
stencil-3d_n1024,stencil-3d,1024,frontier,node_placement,,,,,,,spectral,248320000000.0,0.06506024096385543,,,,,,,,,,
stencil-3d_n1024,stencil-3d,1024,frontier,scheduling,,,,,,,,,,fcfs,3000.0,8183.018666666665,9819.622399999998,70.0,30.0,,,,
stencil-3d_n1024,stencil-3d,1024,frontier,scheduling,,,,,,,,,,backfill,2640.0,6624.971912533332,9034.052607999998,78.0,30.0,,,,
stencil-3d_n1024,stencil-3d,1024,frontier,scheduling,,,,,,,,,,sjf,2550.0,6260.00928,8837.66016,82.0,30.0,,,,
stencil-3d_n1024,stencil-3d,1024,frontier,power,,,,,,,,,,,,,,,,baseline,12.574458,15.089349599999998,1.3275399070945946
stencil-3d_n1024,stencil-3d,1024,frontier,power,,,,,,,,,,,,,,,,power_cap,12.574458,15.089349599999998,1.3275399070945946
stencil-3d_n1024,stencil-3d,1024,frontier,power,,,,,,,,,,,,,,,,frequency_scaling,11.706498179999997,14.047797815999996,1.235905635557432
stencil-3d_n1024,stencil-3d,1024,frontier,power,,,,,,,,,,,,,,,,job_packing,12.086048,14.5032576,1.2759763513513513
nearest-neighbor_n1024,nearest-neighbor,1024,lassen,adaptive_routing,minimal,4.0389333333333335,12.18798751950078,0.009733333333333335,0.0256,20.48,,,,,,,,,,,,,
nearest-neighbor_n1024,nearest-neighbor,1024,lassen,adaptive_routing,ecmp,4.0389333333333335,12.18798751950078,0.009733333333333335,0.0256,20.48,,,,,,,,,,,,,
nearest-neighbor_n1024,nearest-neighbor,1024,lassen,node_placement,,,,,,,contiguous,41120000000.0,0.0,,,,,,,,,,
nearest-neighbor_n1024,nearest-neighbor,1024,lassen,node_placement,,,,,,,random,71640000000.0,-0.7422178988326849,,,,,,,,,,
nearest-neighbor_n1024,nearest-neighbor,1024,lassen,node_placement,,,,,,,locality,41120000000.0,0.0,,,,,,,,,,
nearest-neighbor_n1024,nearest-neighbor,1024,lassen,node_placement,,,,,,,spectral,41200000000.0,-0.0019455252918287869,,,,,,,,,,
nearest-neighbor_n1024,nearest-neighbor,1024,lassen,scheduling,,,,,,,,,,fcfs,3000.0,2417.8559999999998,2901.4271999999996,70.0,30.0,,,,
nearest-neighbor_n1024,nearest-neighbor,1024,lassen,scheduling,,,,,,,,,,backfill,2640.0,1957.4962176,2669.3130239999996,78.0,30.0,,,,
nearest-neighbor_n1024,nearest-neighbor,1024,lassen,scheduling,,,,,,,,,,sjf,2550.0,1849.6598399999998,2611.28448,82.0,30.0,,,,
nearest-neighbor_n1024,nearest-neighbor,1024,lassen,power,,,,,,,,,,,,,,,,baseline,3.6136125,4.69769625,0.7842041015625
nearest-neighbor_n1024,nearest-neighbor,1024,lassen,power,,,,,,,,,,,,,,,,power_cap,3.6136125,4.69769625,0.7842041015625
nearest-neighbor_n1024,nearest-neighbor,1024,lassen,power,,,,,,,,,,,,,,,,frequency_scaling,3.389104125,4.4058353624999995,0.735482666015625
nearest-neighbor_n1024,nearest-neighbor,1024,lassen,power,,,,,,,,,,,,,,,,job_packing,3.4264623999999997,4.45440112,0.7435899305555554
nearest-neighbor_n1024,nearest-neighbor,1024,frontier,adaptive_routing,minimal,3.548097777777778,23.78234398782344,0.013742222222222222,0.0512,20.48,,,,,,,,,,,,,
nearest-neighbor_n1024,nearest-neighbor,1024,frontier,adaptive_routing,ugal,4.054968888888889,23.78234398782344,0.013742222222222222,0.0512,20.48,,,,,,,,,,,,,
nearest-neighbor_n1024,nearest-neighbor,1024,frontier,adaptive_routing,valiant,5.068725925925925,23.78234398782344,0.013745185185185185,0.0512,20.48,,,,,,,,,,,,,
nearest-neighbor_n1024,nearest-neighbor,1024,frontier,node_placement,,,,,,,contiguous,20720000000.0,0.0,,,,,,,,,,
nearest-neighbor_n1024,nearest-neighbor,1024,frontier,node_placement,,,,,,,random,54160000000.0,-1.6138996138996138,,,,,,,,,,
nearest-neighbor_n1024,nearest-neighbor,1024,frontier,node_placement,,,,,,,locality,20720000000.0,0.0,,,,,,,,,,
nearest-neighbor_n1024,nearest-neighbor,1024,frontier,node_placement,,,,,,,spectral,20880000000.0,-0.007722007722007707,,,,,,,,,,
nearest-neighbor_n1024,nearest-neighbor,1024,frontier,scheduling,,,,,,,,,,fcfs,3000.0,8183.018666666665,9819.622399999998,70.0,30.0,,,,
nearest-neighbor_n1024,nearest-neighbor,1024,frontier,scheduling,,,,,,,,,,backfill,2640.0,6624.971912533332,9034.052607999998,78.0,30.0,,,,
nearest-neighbor_n1024,nearest-neighbor,1024,frontier,scheduling,,,,,,,,,,sjf,2550.0,6260.00928,8837.66016,82.0,30.0,,,,
nearest-neighbor_n1024,nearest-neighbor,1024,frontier,power,,,,,,,,,,,,,,,,baseline,12.574458,15.089349599999998,1.3275399070945946
nearest-neighbor_n1024,nearest-neighbor,1024,frontier,power,,,,,,,,,,,,,,,,power_cap,12.574458,15.089349599999998,1.3275399070945946
nearest-neighbor_n1024,nearest-neighbor,1024,frontier,power,,,,,,,,,,,,,,,,frequency_scaling,11.706498179999997,14.047797815999996,1.235905635557432
nearest-neighbor_n1024,nearest-neighbor,1024,frontier,power,,,,,,,,,,,,,,,,job_packing,12.086048,14.5032576,1.2759763513513513
ring_n1024,ring,1024,lassen,adaptive_routing,minimal,4.015573333333333,12.373297434273045,0.0038933333333333333,0.01024,8.192,,,,,,,,,,,,,
ring_n1024,ring,1024,lassen,adaptive_routing,ecmp,4.015573333333333,12.373297434273045,0.0038933333333333333,0.01024,8.192,,,,,,,,,,,,,
ring_n1024,ring,1024,lassen,node_placement,,,,,,,contiguous,16448000000.0,0.0,,,,,,,,,,
ring_n1024,ring,1024,lassen,node_placement,,,,,,,random,28480000000.0,-0.7315175097276265,,,,,,,,,,
ring_n1024,ring,1024,lassen,node_placement,,,,,,,locality,16448000000.0,0.0,,,,,,,,,,
ring_n1024,ring,1024,lassen,node_placement,,,,,,,spectral,16480000000.0,-0.0019455252918287869,,,,,,,,,,
ring_n1024,ring,1024,lassen,scheduling,,,,,,,,,,fcfs,3000.0,2417.8559999999998,2901.4271999999996,70.0,30.0,,,,
ring_n1024,ring,1024,lassen,scheduling,,,,,,,,,,backfill,2640.0,1957.4962176,2669.3130239999996,78.0,30.0,,,,
ring_n1024,ring,1024,lassen,scheduling,,,,,,,,,,sjf,2550.0,1849.6598399999998,2611.28448,82.0,30.0,,,,
ring_n1024,ring,1024,lassen,power,,,,,,,,,,,,,,,,baseline,3.6136125,4.69769625,0.7842041015625
ring_n1024,ring,1024,lassen,power,,,,,,,,,,,,,,,,power_cap,3.6136125,4.69769625,0.7842041015625
ring_n1024,ring,1024,lassen,power,,,,,,,,,,,,,,,,frequency_scaling,3.389104125,4.4058353624999995,0.735482666015625
ring_n1024,ring,1024,lassen,power,,,,,,,,,,,,,,,,job_packing,3.4264623999999997,4.45440112,0.7435899305555554
ring_n1024,ring,1024,frontier,adaptive_routing,minimal,3.519239111111111,24.49827532141737,0.00549688888888889,0.02048,8.192,,,,,,,,,,,,,
ring_n1024,ring,1024,frontier,adaptive_routing,ugal,4.0219875555555555,24.49827532141737,0.00549688888888889,0.02048,8.192,,,,,,,,,,,,,
ring_n1024,ring,1024,frontier,adaptive_routing,valiant,5.027496296296297,24.49827532141737,0.005499259259259259,0.02048,8.192,,,,,,,,,,,,,
ring_n1024,ring,1024,frontier,node_placement,,,,,,,contiguous,8288000000.0,0.0,,,,,,,,,,
ring_n1024,ring,1024,frontier,node_placement,,,,,,,random,22160000000.0,-1.6737451737451736,,,,,,,,,,
ring_n1024,ring,1024,frontier,node_placement,,,,,,,locality,8288000000.0,0.0,,,,,,,,,,
ring_n1024,ring,1024,frontier,node_placement,,,,,,,spectral,8352000000.0,-0.007722007722007707,,,,,,,,,,
ring_n1024,ring,1024,frontier,scheduling,,,,,,,,,,fcfs,3000.0,8183.018666666665,9819.622399999998,70.0,30.0,,,,
ring_n1024,ring,1024,frontier,scheduling,,,,,,,,,,backfill,2640.0,6624.971912533332,9034.052607999998,78.0,30.0,,,,
ring_n1024,ring,1024,frontier,scheduling,,,,,,,,,,sjf,2550.0,6260.00928,8837.66016,82.0,30.0,,,,
ring_n1024,ring,1024,frontier,power,,,,,,,,,,,,,,,,baseline,12.574458,15.089349599999998,1.3275399070945946
ring_n1024,ring,1024,frontier,power,,,,,,,,,,,,,,,,power_cap,12.574458,15.089349599999998,1.3275399070945946
ring_n1024,ring,1024,frontier,power,,,,,,,,,,,,,,,,frequency_scaling,11.706498179999997,14.047797815999996,1.235905635557432
ring_n1024,ring,1024,frontier,power,,,,,,,,,,,,,,,,job_packing,12.086048,14.5032576,1.2759763513513513
